biedermeier	稳健
tache	搭扣
rhizocarp	宿根植物
unrounded	非圆唇
bailsman	保释保证人
outworn	用旧的
kokobeh	果皮粗糙
wettable	可湿的
larrikin	喧闹
crib	栅栏
rouse	奋起
overripe	过熟的
micronutrient	微量营养素
porteress	=portress
sotted	麻木迟钝的
jollify	快乐
fetation	胚胎发育
acerbity	涩
unbitter	没有仇恨
raggie	非常亲密的朋友
uppermost	至上
okie	俄克拉荷马州民
forestall	囤积居奇
ganoid	表面光滑的
seat	所在
performing	履行的
ganof	扒手
lanceted	矛尖状装饰
meaning	含意
uncannily	惊异地
judgement	判断力
illegibly	暧昧地
hallucinatory	引起幻觉
coronavirus	日冕形病毒
sculptural	雕刻般
rouse	觉醒
spirit	精神
heliology	太阳学
gangplank	跳板
ariot	骚乱地
swanky	爱出风头
run	使流
whoa	惊叹声
decolorant	漂白的
spice	情趣
cataleptic	全身僵硬症
adrenocorticotro	肾上腺9kR:tIkEJ`trCfIk
twopenny	不足道
gourde	海地的货币单位
visitation	探望
heartfelt	衷心的
water	水上
luthern	window
cremationist	主张火葬的人
whiter	白
noumenal	本体的
charlatan	吹牛者
khfos	=Chios
sclc	Christian
fourpenny	价值四便士之英国银币
mouthy	爱说话
haily	冰雹
triose	丙糖
prolepsis	预期
briefly	简要地
tramp	重步行走
naillike	像钉
demonology	魔鬼研究
plo	巴解组织
wysiwyg	See
suxamethonium	司可林
vomitive	呕吐
spoken	口头
brimless	无边
epithetical	形容语句
slimmer	减轻体重者
silkweed	芳草属植物
dragway	减重短程高速汽车赛车道
musicomania	音乐狂
klunky	残旧
autecious	=autoecious
image	象征
lettered	有学问
aspect	方面
