before	在……之前
wickiup	一种小屋
johannisberger	出产的上等葡萄酒
candent	灼热的
haplont	单倍体
venal	贪污
engarland	饰以花圈
bate	抑制
chufa	荸荠
diseaseful	不健康
autobiographic	自传体的
sap	树液
agenesis	发育不全
nonviable	无法生活
weakly	虚弱
trichopteran	有毛翅的
granulocytopoiesis	粒细胞生成
sitting	易击中的
patina	铜绿
woozy	糊涂
fulmination	闪电
renovator	革新者
perforative	能穿孔的
equinoctial	春分或秋分时的暴风雨
amvets	第二次世界大战美国退伍军人协会
disciplined	受过训练
fag	苦工
legerdemainist	魔术师
inconsonant	不协调的
dreamscape	幻景
upscale	质优价高
activize	激起
breadless	缺粮的
chromite	亚铬酸盐
discontentedness	不平
cockneyfy	使具有伦敦人的特性
pentalogy	五部互相连贯的作品
wheelwork	转动装置
usts	美国旅行社
nerf	冲撞别的汽车
reductant	=reducing
resplendent	灿烂的
overdaring	过于大胆的
scholastical	=scholastic
epulary	宴会的
obvious	显而易见的
flo	弗洛
discipular	追随者
newfashioned	新款式
medicable	可治疗的
intermontane	山间
sakellaridis	萨克拉里德斯棉
conciliator	抚慰者
rabat	黑色胸带
pun	说双关语
unsackable	不可解雇的
recast	重做
condyloid	髁状
beefcakery	展示男性健美的摄影
tanniferous	生丹宁酸的
lemma	引理
worshipful	崇拜的
joggle	轻摇
blat	叫
containerize	用集装箱装
barbados	巴巴多斯岛
pocket	袖珍的
trousers	裤子
iraser	红外激射
prow	船首
hopeless	不可救药
excitant	刺激物
demonic	恶魔的
galliard	轻快的三拍子舞蹈
conceivably	令人信服地
northwestwardly	西北
corporately	共同
foal	生仔
conarial	松果体
flutter	飘动
putsch	政变
dogleg	弯曲如狗后腿的
fleecy	蓬松的
maenad	狂女
froghopper	沫蝉
average	通常
overdrifted	被吹积物覆盖
vernix	胎儿皮脂
enveil	覆盖面罩
cadence	节奏
vestige	残余
hades	阎王
panleucopenia	猫传染性粒细胞缺乏症
supremely	无上
emulator	竞争者
tepid	温热的
culpa	罪
contrary	逆的
absorbable	容易被吸收
grainy	多粒
coppery	铜制的
rhapsodic	狂想
irreciprocal	非互惠
derivation	引出
vesicatory	起泡
monophonematic	单音位
spinet	小型立式钢琴
lunanaut	=lunarnaut
slubberdegullion	二流子
ucky	令人厌恶的
most	大多数
antasthmatic	气喘治疗剂
transshipment	转载
hmnzs	New
millinormal	毫克当量
antennal	触角
laevorotation	反时钟旋转
kk	System
backslid	backslide的过去式
oilstone	油磨刀石
liturgical	礼拜式
unerringly	无过失地
cavern	深处
inappreciable	微不足道的
sideline	局外人的观点
curriculum	课程
inlet	水湾
unresponsive	无答复的
expugnable	可突击的
dexter	吉利的
regrater	囤积居奇者
piratic	海盗的
cephalometry	头部测量法
hominine	类人的
overwrite	写得过多
indication	迹象
tsunyi	见Zunyi
numidian	努米底亚的
intranasal	鼻内的
cpa	Airlines
disanimation	灰心
backcourtman	后卫
dewiness	露状
function	作用
otherworldly	来世的
headstream	源头
reconcilable	可和解的
uncommitted	未遂的
hoop	铁环
postulate	基本原理
sacerdotalism	僧侣政治
hierachical	等级制度的
brassy	厚脸皮
individualise	使个体化
mature	充分考虑
myxoedema	黏液腺瘤病
blowlamp	汽油吹焰管
sanguinivorous	=sanguivorous
prohibit	禁止
monocephalous	具单头状花序的
can	罐头
spearhead	充当先锋
dutiful	顺从的
cuboid	立方的
hcl	living高生活费
landification	石化
droppable	适于投下
anisotropic	各向异性的
photoelectron	光电子
nonfluency	不流利
undam	从……撤去堤坝
obtainable	能得到
capable	可以……
planation	均夷作用
mandrake	曼德拉草根
stale	陈腐的
worthily	可敬
sling	弹弓
host	主机
pdp	等离子体显示器
solemnify	使严肃
whencesoever	无论为什么
wuchang	武昌
unforested	未造林
spongious	海绵般多孔
capeesh	=coppish
mistrust	猜疑
militiaman	全体民兵
basque	一种妇人用短上衣
systematiser	=systematizer
indented	锯齿状的
uranous	含铀
drily	冷淡地
equipment	器材
koumiss	马奶酒
feign	作假
bang	发巨响
blackleggery	破坏罢工
circular	循环
fellow	人
tannoy	其商标名
aiguille	锥状的岩石
equivalve	两壳形式和大小相同
august	令人敬畏
scapular	肩的
rockbound	多岩石
arsenic	砒霜
joint	使有接头
natiform	臀形的
bathymetric	深测术
inauthentic	假
teletypesetter	电报排字机
putrid	非常讨厌
contrastive	对比的
cembalo	拨弦古钢琴
dislimn	变模糊
hhfa	and
investitive	赋予的
hommock	堆积冰
befool	糟蹋
fretful	焦躁
contributory	捐助的
chaparejos	皮裤
southmost	最南的
counterblast	反向气流
postcode	邮递区号
newsiness	饶舌
epigeal	生长在地上
en	字
furthermost	最远方的
adurol	一种显像剂
sniff	吸
variorum	有诸家注解的
asciferous	=ascigerous
britannia	大不列颠之古拉丁文名
transpositional	变调
cheapie	便宜货
irascibility	脾气暴躁
dall	野大白羊
superfine	特级的
salvageable	可抢救的
inextinguishable	压不住的
determinative	决定
shaky	摇晃
rivage	海岸
flit	迅速飞过
decimally	用十进制
looped	酩酊大醉的
nonresistant	不抵抗
synapse	神经原的神经线连接
tsoris	烦恼
iocu	Consumers
libellee	被诽谤者
xanthochroous	带黄色
scalewing	蛾
unshod	赤脚
prevoyance	预见
caporal	一种法国产的烟丝
overbid	过高的叫牌
uncreated	未创造的
monocable	单索架空索道
cavendish	烟草饼
freightage	货运
unsyllabic	不构成音节的
proselyte	改信仰者
nu	Niue
doldrums	赤道无风带
ribby	多肋骨状物的
pentecost	圣灵降临节
indefinably	无法下定义
limation	抛光
bodkin	锥子
elint	电子情报
spiculate	尖锐的
unpopular	不受欢迎的
ledgy	突出物很多
pseudotuberculosis	假结核病
vallum	垒墙
dishouse	抢夺住宅
madly	精神失常地
vernalize	以人工方法促进发育
elementary	自然力的
state	国有
flaxen	亚麻
downspout	水落管
bagarre	殴斗
munchausen	夸大得难以置信的冒险故事传说中的作者
diametrically	直接
mairie	镇公所
ferredoxin	铁氧化还原蛋白
machining	加工
qualification	赋予资格
stopgap	暂时的
remarkable	显著
concomitancy	共存
bramley	绿色大苹果
emotionless	不露情感
noisome	有害
olein	脂肪之液状部分
versatile	万能
despotically	专制地
liar	说谎者
umbellar	伞状花
weatherworn	风雨侵蚀
hootananny	=hootenanny
outside	在外面
damnable	该死
khansu	肯聚长袍
indemnify	赔偿
absently	心不在焉地
umohoite	钼铀矿
enow	足够
cathodal	阴极的
incendiary	煽动者
unimplemented	未执行
fantod	烦燥
liquidly	流畅
aquiver	兴奋
phyllotactical	叶序的
convertibly	可交换地
actiniform	放射形的
herpetic	疱疹的
tito	提托
activex	微软倡导的ActiveX
beamed	有梁的
chopfallen	下颚凹陷的
trangam	小玩意儿
phineas	菲尼亚斯
brachycephal	圆头型的人
sanely	心智健全地
tetraalkyllead	四烷基铅
falda	白丝法衣
undevout	不虔诚
unreachable	不能达到
catamount	猫科动物
pds	Direct
aew	airborne
supportable	可支持
clinical	临床的
wmo	World
retake	取回
hide	隐藏
presurgical	手术前的
friendliness	友谊
wharfie	装卸工人
bolter	退出党派者
aeromedicine	航空医学
gab	空谈
flush	挥霍的
petting	爱抚
athermancy	不透热性
incb	International
semifluid	半流质的
osteitic	患骨炎的
pyrrhonist	怀疑论信徒
leukopoietic	白血球形成
cyclopaedic	渊博的
negligee	随便的衣着
ballistically	弹道学
misquotation	错误的引用
discourteously	不礼貌地
visualizer	视觉型的人
hit	碰撞
refutation	驳斥
schottische	慢步
neighbourless	无邻居
vigilant	警醒
murein	胞壁质
muggins	蠢人
logistics	后勤
mujik	农夫
capitulant	投降者
suspectable	有嫌疑
sophister	诡辨家
thersitical	谩骂
remonstrator	提出异议的人
chromogenic	发色体的
rowlock	桨架
forge	稳步前进
final	期末考试
brahmanic	婆罗门
proturan	原尾虫
inhumorous	不幽默的
plug	插头
finlet	小鳍
resale	再贩卖
angry	狂暴的
temperate	戒酒的
translation	翻译
upstream	溯流而上
eject	推断的事物
feel	触
brilliantly	辉煌地
flexura	曲折
korean	朝鲜人
laudatory	赞美的
pictograph	古代石壁画
afdc	Dependent
ideational	设想
melting	融化的
hummocky	圆丘般
appropriable	可侵吞
clag	妨碍
trijugate	具三对小叶
alalia	言语不清
dinaric	Alps迪纳拉山脉
hammam	浴室
anile	衰老的
adolesce	如青春期少年般行事
rappahannock	拉帕汉诺克河
catoptrics	反射光学
chop	剁碎
hypostases	坠积
dungeness	crab
latent	隐藏
absent	缺席的
os	骨
toilless	不费力的
monseigneur	阁下
resignation	辞职书
heavy	阴沉的
monography	=monograph
snifty	傲慢
snore	打鼾
peppercorn	胡椒子
surfboat	冲浪艇
preserver	保存者
scarcely	几乎不
silicic	硅的
hydrometeorological	水文气象学gy/`haIdrEJ9mi:
covered	隐蔽着
arabism	总称阿拉伯国家
inshore	沿海岸的
cacophony	刺耳的音调
undebatable	无可置疑
merryman	小丑
immobility	牢固
regroup	重组
ccpit	Council
audio	声音的
florilegium	作品集锦
ajar	微开的
rascallion	流氓
transamination	转氨作用
ignescent	敲击而冒火的
caressing	亲切的
armer	武装者
microdetector	灵敏电流计
shnook	=schnook
controversial	争论
unneutral	片面的
khanga	肯加布
incarnate	使成化身
coprolite	粪化石
unequable	不温和
eccentric	古怪
cockeye	喝醉的
coronach	挽歌
hendecahedral	十一面体的
typology	象征学
whine	抱怨
atmosphere	气氛
aerial	高耸
dotard	年老昏愦之人
fenestral	如窗的
advised	细想过的
adieux	辞别
bottom	到达底部
osteitic	骨炎
solion	电化增益器
ruck	变皱
birdshot	小号铅弹
