curragh	小型手推货车的一种
yearlong	整整一年的
dermatozoon	皮肤寄生虫
skinny	似皮
proceeding	行动
tetragonal	四角形
approximator	接近者
ribbing	田垄
adapt	使适应
helper	助手
schismatic	分裂论
scuzzy	阴暗
bigoted	顽固
nitroso	亚硝基的
flosculous	=floscular
consort	使配对
aegeus	埃勾斯
unalleviated	未减轻的
decane	十炭矫质
incumbent	职责所在
embroider	绣花
bulletheaded	顽固
kanaka	夏威夷及南洋群岛的土人
brutal	残忍
circuitously	曲折
letterer	文字书写员
grinder	脱衣舞女演员
hexaemeric	创世之六天记述
dotty	精神不定的
jones	琼斯
schistoid	片岩状
whist	无声地
unifier	联合者
maiden	纯洁
ticker	滴答响的东西
sophistic	强词夺理
endotrophic	体内营养的
remigial	飞羽
description	描写
detergent	去垢剂
pentachord	五弦琴
harpy	鹰身女妖
instant	刻不容缓
orienteering	徒步横渡旷野的竞赛
loophole	射弹孔
snakefly	蛇蛉
wilding	野
objectionable	讨厌
nervy	肌肉发达的
fixative	定影液
arability	适合耕种
commonweal	公益
medical	药
healing	有治疗功用的
beautydom	美人圈
syllabically	分成音节
hypaethral	露天
ungraceful	下流
pullulation	抽芽
ppt	1
traditionary	惯例
katatonia	紧张性精神分裂症
kiwanis	基瓦尼俱乐部
regardlessly	毫无价值
thoro	完全的
drowsiness	睡意
enrollment	注册
ned	Edward
vaginotomy	阴道切开术
extrahazardous	特别危险的
waveson	失事船的漂流物
tawdry	俗丽
agrometeorological	农业气象的
misconstrue	曲解
juridic	司法上
brassiness	似黄铜
insatiably	贪得无厌地
mailable	可邮寄的
eclectically	折衷
cagy	小心
irresistible	不能压制
gular	在咽
pothanger	吊水壶的悬链
mirador	凸窗
out	外面的
somatogamy	拟无配子生殖
hekla	赫克拉火山
floatable	可漂浮
hardie	=hardy
cres	防锈钢
yeast	酵母
os	style
riotous	狂欢的
supersubstantial	超实体
bemusement	发呆
vealy	初生牛犊般
reptiliary	爬行动物馆
baroque	巴洛克时期艺术和建筑风格的
butut	布图
xeroform	三溴酚铋
furnisher	家具商
carabineer	卡宾枪手
withdrawal	取消
absent	不在的
twu	Union
awry	错误
provisory	有附文的
iridaceous	鸢尾科的
caliban	凯列班
circumspective	细心的
auntie	伯母
outward	外表的
mantelshelf	壁炉架
repose	依靠
poesy	诗歌
cant	黑话
constipated	患便秘症的
lark	嬉耍
malicious	恶毒的
sperrylite	砷铂矿
drolly	幽默
effeminacy	女人气
mudskipper	跳跳鱼
sound	语音
adios	一路平安
dessert	餐后甜点
equimultiple	等倍量
comprehensively	包括
sunfed	Economic
acd	Automatic
striking	罢工
aid	帮助
sagamore	酋长
argonautic	号远征的
eurasia	欧亚大陆
cyclothymic	循环性精神病的
crown	顶
cany	藤
haematoxylin	苏木素
meniscoid	新月形的
sphacelous	患坏疽的
warp	弄歪
melodeon	手风琴之一种
nighttide	夜潮
pitiful	令人同情
recruitment	补充
inthral	迷惑
malaguena	地方的舞蹈
manageable	便于管理的
ancient	远古
gunner	管理军械的准尉
airfreight	货物空运费
sustainer	主动动机
anamorphic	失真
caespitose	丛生的
ablaze	闪耀
coffee	咖啡树
exigency	紧急事件
tore	tear的过去式
phosphorolytic	磷酸解
aconitic	附子的
renovate	革新
distinguishing	有区别的
