waterfront	滨水地区
tiro	初学者
tiro	生手
progressive	改革论者
progressive	进步论者
progressive	前进的
progressive	前进
progressive	累进的
progressive	累进
progressive	进步的
progressive	进步
quinquevalent	有五种不同原子价的
quinquevalent	有五种不同原子价
quinquevalent	五价的
quinquevalent	五价
cosmonautics	宇学
cosmonautics	航天学
affirmance	断言
affirmance	确认
softboard	软质纤维板
farmerette	农场女工
farmerette	耕种的妇女
captainless	无首领的
captainless	无首领
statistics	统计学
statistics	统计表
millennial	一千年的
millennial	一千年
millennial	千福年的
millennial	千福年
aidant	帮助的
aidant	帮助
aidant	有助益的
aidant	有助益
manward	针对人的
manward	针对人
manward	向着人
manward	以涉及人的方式
porraceous	葱绿的
porraceous	葱绿
cordoba	科多巴
rudder	舵
rudder	方向舵
allure	吸引
engirdle	用带缠绕
engirdle	围绕
preposterous	荒谬的
preposterous	荒谬
arbovirology	虫媒病毒学
quantise	=quantize
encephalolith	脑石
plastometer	塑度计
unbeseeming	不合适的
unbeseeming	不合适
unbeseeming	不恰当的
unbeseeming	不恰当
unbeseeming	不相称的
unbeseeming	不相称
proofreader	校对者
scrubdown	擦洗
joviality	快活
prospecting	探矿
swansea	斯旺西
hector	虚张声势的人
hector	恃强凌弱的人
hector	威吓
bicol	=Bikol
unanalysed	未分析的
unanalysed	未分析
unanalysed	未解析的
unanalysed	未解析
testate	留有遗嘱的
testate	留有遗嘱
lifelikeness	生动
lifelikeness	逼真
basinful	满盆
basinful	满盆之量
mafiology	黑手党研究
snowcem	涂料
dipnet	抄网
protectorship	摄政之职位或任期
solmisation	=solmization
raphis	=raphide
indio	殖民地土著
unhurt	没有受伤的
unhurt	没有受伤
unhurt	未受损的
unhurt	未受损
caprolactam	己内酰胺
impertinence	不适宜
impertinence	鲁莽
impertinence	无礼
notalgia	背痛
confirmation	证实
confirmation	确认
confirmation	批准
historify	记载历史
plowwright	=ploughwright
antipolitician	貌似反传统政治的政治家
lammie	=lammy
unprofited	=profitless
delusory	困惑的
delusory	困惑
delusory	迷惑的
delusory	迷惑
aphrodite	阿芙罗狄蒂
stagnant	停滞的
stagnant	停滞
stagnant	迟钝的
stagnant	迟钝
grosz	波兰货币单位
grosz	其硬币
maskanonge	=maskinonge
tuberculation	结节之形成
tuberculation	结核之形成
tephrite	碱玄岩
gusla	古斯勒琴
styx	冥河
wafs	Women`s
wafs	Auxiliary
wafs	Ferrying
wafs	Squadron妇女辅助渡运中队
phosphorograph	9fCsfE`rC^rEfI^rAf/
phosphorograph	磷光/
phosphorograph	磷光摄影
relaxedly	缓慢地
relaxedly	缓慢
relaxedly	松弛地
relaxedly	松弛
relaxedly	宽心地
relaxedly	宽心
photothermic	光热的
photothermic	光热
photothermic	光致发热的
photothermic	光致发热
photothermic	光和热的
photothermic	光和热
marque	商品型号
undc	United
undc	Nations
undc	Disarmament
undc	Commission
undc	联合国裁军审议委员会
aerostatics	空气静力学
aerostatics	航空学
facies	面容
facies	外观
facies	表面
facies	外表
facies	演替系列优种社会
facies	演替系列变群丛
facies	相
royalistic	保皇党派的
royalistic	保皇党派
royalistic	君主主义的
royalistic	君主主义
egyptianization	埃及化
doughface	柔顺的人
doughface	易受人左右的人
doughface	反对解放奴隶的北方议员
keratogenous	引起角质组织生长的
keratogenous	引起角质组织生长
postmillennial	9pEJstmI`len/
postmillennial	千霫ElIzEm/
postmillennial	千禧年旰蟮
postmillennial	信奉千禧后论(基督教神学哪旰舐鄣
tribe	部落
tribe	部族
superman	具有超人能力的人
superman	超人
tidy	椅子的背罩
tidy	装杂碎的容器
tidy	整齐的
tidy	整齐
tidy	整洁的
tidy	整洁
tidy	精简的
tidy	精简
tidy	弄整齐
tidy	收拾
tidy	整理
tidy	整理
tidy	收拾
tidy	可观的、相当大的
tidy	可观的、相当大
casebook	个案记录簿
infusibility	不溶性
infusibility	难溶性
spelter	粗锌
oval	卵形的
oval	卵形
oval	椭圆的
oval	椭圆
oval	卵形
oval	椭圆形
tevere	=Tiber
imperishably	不灭地
imperishably	不灭
imperishably	不朽地
imperishably	不朽
halitus	呼吸
halitus	蒸气
renumerate	再数
renumerate	再列举
footware	工作鞋
prevenance	关注
prevenance	殷切期望
prevenance	体贴
cryochemical	低温化学的
cryochemical	低温化学
extortion	勒索
extortion	敲诈
extortion	强取
extortion	被勒索的财物
hostler	马夫
hostler	车辆维修工
masturbation	手淫
masturbation	自淫
imitated	模仿的
imitated	模仿
imitated	效法的
imitated	效法
imitated	假冒的
imitated	假冒
mareogram	潮汐曲线
leatherjacket	长脚蝇的蛆
cecum	盲肠
prehallux	原大趾
monoecious	雄雌同株的
monoecious	雄雌同株
monoecious	雄雌同体的
monoecious	雄雌同体
engram	记忆的痕迹
proembryo	原胚
overactive	过于活跃的
overactive	过于活跃
overactive	活跃得不正常的
overactive	活跃得不正常
coden	分类编号
arf	汪
interpret	解释
interpret	说明
interpret	口译
interpret	通译
interpret	认为是……的意思
underpay	不付足够的工资
underpay	不充分地付
psychophysics	精神物理学
ayutthaya	大城府
pal	好朋友
pal	伙伴
pal	同志
pal	结为朋友
pal	Phase
pal	Alternating
pal	Line
pal	PAL制式
footbridge	人行桥
yacht	游艇
yacht	快艇
yacht	轻舟
yacht	驾游艇
yacht	乘游艇
xylomancy	木片占卜术
asphaltic	柏油的
asphaltic	柏油
scapulary	肩胛绷带
precut	按规格裁切
boom	繁荣
boom	隆隆声
boom	发隆隆声
boom	兴隆
boom	大事宣传
alcoranist	主张严守可兰经字面解释的人
stickler	坚持己见的人
stickler	困难的问题
humectant	湿润剂
humectant	保湿剂
humectant	湿润的
humectant	湿润
chiv	匕首
chiv	刀
circalunadian	太阴日节律的
circalunadian	太阴日节律
circalunadian	周期似太阴日的
circalunadian	周期似太阴日
cardines	cardo的复数
sucking	吸奶的
sucking	吸奶
sucking	授乳的
sucking	授乳
sucking	乳臭未干的
sucking	乳臭未干
sucking	尚未断奶的
sucking	尚未断奶
slouching	没精打采的
slouching	没精打采
slouching	懒散的
slouching	懒散
tragi	tragus的复数
crucial	至关紧要的
crucial	至关紧要
subfix	下标符号
helicab	出租直升机
emblemize	标记
emblemize	象征
menophania	月经初现
menophania	初经
healthiness	健康
healthiness	健全
leftmost	最左边的
leftmost	最左边
sabine	萨宾人
cheerfulness	高兴
cheerfulness	快活
gripple	贪婪的
gripple	贪婪
bronzing	烫金
trilobite	三叶虫
wallydraigle	=wallydrag
greeting	祝贺
greeting	问候
phenakistoscope	转盘活动影像镜
abdicate	退位
abdicate	放弃
sake	为了……之好处
sake	出于对……的兴趣
sake	缘故
sake	理由
sake	日本米酒
wondrously	惊奇地
wondrously	惊奇
wondrously	非常
wondrously	极其
berezina	贝尔齐纳河
dissymmetrical	非对称的
dissymmetrical	非对称
dissymmetrical	不匀称的
dissymmetrical	不匀称
sterility	不毛
sterility	不育
sterility	中性
sterility	无结果
sterility	无菌状态
sterility	思想贫乏
incorrigibly	不能矫正地
incorrigibly	不能矫正
pinchcock	弹簧夹
roomed	有房间的
roomed	有房间
airglow	气辉
hyponitrous	连二次硝酸的
hyponitrous	连二次硝酸
syconium	隐头花序
casual	偶然的
casual	偶然
casual	不经意的
casual	不经意
casual	临时的
casual	临时
wannish	稍为苍白的
wannish	稍为苍白
filose	丝状的
filose	丝状
filose	末端成为丝状的
filose	末端成为丝状
unseduced	未受唆使的
unseduced	未受唆使
unseduced	不受诱惑的
unseduced	不受诱惑
unseduced	不被勾引的
unseduced	不被勾引
radioprotection	辐射防护
hdf	Hierarchical
hdf	Data
hdf	Format
hdf	层次型数据格式
lhasa	拉萨
untechnical	非技术的
untechnical	非技术
untechnical	非专门性的
untechnical	非专门性
untechnical	缺乏技术训练的
untechnical	缺乏技术训练
erose	不规则形状的
erose	不规则形状
erose	不整齐牙齿状的
erose	不整齐牙齿状
erose	啮蚀状的
erose	啮蚀状
pycnometer	比重瓶
bacterize	借细菌作用治疗或改变
astringent	收敛剂
astringent	收敛性的
astringent	收敛性
