chimera	狮头
parorexia	异食癖
gdmo	Definition
immediateness	立刻
indigenize	使本国化
coincident	一致的
antiform	反对在艺术品创作中使用传统形式和材料的
improvisatorial	即兴
flaccid	无活力的
ea	电子艺界游戏公司
cryptographist	密码专家
limonene	柠檬油精
fat	脂肪
current	最近的
manipulation	处理
posset	牛乳酒
tribonucleation	摩擦成核作用
kendo	剑术
leucemia	白血球过多症
underscore	底线
revolt	反感
milanese	米兰人
bellman	敲钟人
leafy	多叶
zonally	区域
readily	容易
coagulable	可凝结的
submarine	水下
force	夺取
connection	线路
mid	中间的
gpl	Public
ocso	Order
indonesian	印度尼西亚语
schistosomiasis	血吸虫病
putridness	腐烂
studious	认真的
usurpatory	篡夺
quadrasonic	=quadraphonic
prankish	恶作剧
unrope	挣脱绳索
whither	到哪里
fortune	偶然发生
siracusa	锡拉库扎
provide	供给
kyat	元
hand	手艺
symphysis	合生
sneeze	打喷嚏
almightiness	全能
skatemobile	滑轮车
kahn	test康氏试验
jildi	迅速
raving	狂乱的
spinose	有刺的
disabled	丧失能力
station	……站
carmine	深红色的
migrator	候鸟
tracery	窗饰
stormward	向风暴
predetermine	预定
around	左右
perfect	完美
immunosuppress	的免疫反应
exsuccous	干的
apertured	有孔的
amitabha	阿弥陀佛
tpi	Town
enterostomy	肠造口术
imputable	可归咎
unreactive	化学上惰性的
putamen	壳
cosmopolite	见闻很广博
phthisic	痨的
cowry	宝贝
jonah	约拿
assertorily	确定地
lamblike	温驯
dolefully	寂寞
greatest	最好
sikh	印度锡克教徒
beckoningly	令人心动
regurgitant	反刍的
handline	手执的钓丝
abroad	往国外
lasso	笼络
wacky	疯疯癫癫
sansculotte	激进派革命家
evangelical	福音
sialomucin	唾液黏蛋白
weeping	垂枝
snuff	灯花
playgoing	看戏
present	现在
undivested	未被脱去的
panduriform	提琴形的
branch	部门
insalivation	混涎作用
topocentric	以地面上的某点为中心
uncontemplated	意想不到
octopush	水中曲棍球之一种
tumtum	弦器
park	公园
legitimation	合法化
elaphine	似红鹿
malign	恶毒的
paramount	极为重要的
related	有关系的
prostyle	前柱式的
chyliferous	输送乳糜的
unwakened	未被唤醒的
xat	为纪念死者的雕刻柱
interprovincial	省与省之间的
unpresentable	不登大雅之堂
outer	外面
impressive	感人
attractable	可被吸引
discipular	信徒
worthful	有价值
beauish	花花公子
osaka	大阪
byzantine	画家
faucial	咽喉
irisated	虹彩的
nllst	国立科学及技术出借图书馆
psychotherapist	精神治疗医师
promiseful	有希望的
footage	以尺计算长度
mediate	调停
undisposed	无倾向
insensitive	感觉迟钝的
sedgeland	莎草
calkin	鞋底铁掌
feuillant	费洋社
heteroatom	杂原子
urticariogenic	致荨麻疹的
snide	假珠宝
monatomic	单原子的
flub	搞错
spiel	喋喋不休地高谈阔论
muonic	μ子的
recover	复原
untrue	不忠实
piratical	海盗
aquiferous	蓄水的
ladderlike	梯状的
testing	与试验有关的
gwine	的现在分词
metalingual	=metalinguistic
elevator	升降舵
panne	平绒
monozygotic	单精合子
viscounty	身份
flotative	可漂浮
parsimony	过度节俭
gossamer	蛛丝
cyclopic	巨大
quavery	颤声
integrable	可积的
poise	犹豫
steak	牛排
rubral	脑红核的
hydrosulfurous	连二亚硫酸的
enquiring	寻问的
chanson	歌谣
backscratcher	长柄扒
fair	晴朗的
menstruation	有月经
paleography	古文书学
plantation	人造林
abetment	教唆
bugs	发疯
peristome	开口部
vacuometer	低空计
proviso	附文
distinction	区别
buccolingual	颊舌的
ardently	热烈
azc	Council美国犹太复国主义者理事会
christocentric	以基督教义为中心
monometallist	单本位制论者
efflorescent	起霜
gallimaufry	搀杂
pyxidium	盖果
lasher	堰下的水溏
motorail	铁路运载汽车及其司机、乘客的业务
mature	成熟的
strategy	策略
currently	普遍地
disyllabic	双音节的
hopei	见Hebei
corydon	青年
heterogenesis	异形生殖
lecherous	色情
phonotactics	音位配列学
photodynamics	光力学
uncontemplated	未经周密考虑的
awshucks	羞怯
banquette	射击壕沟
lex	法律体系
modifiable	可更改的
syndic	评审员
feudatorial	世仇的
gook	对韩国人
skirl	发出尖锐声
agazed	受惊吓的
flyunder	下层车道
acrodromous	脉向尖聚集的
mmpi	Personality
heliogabalus	黑利阿加巴卢斯
ordovician	奥陶系
grandstand	正面看台
unwove	unweave的过去式
ease	安心
feudalistic	封建制度
seaflower	海葵
conversationist	健谈者
intrepid	无畏的
depreciate	折旧
fluid	可改变
inbred	天生
bedrabble	使湿透
triangular	三人间的
gabardine	一种宽松的长袍
coprophobic	粪便恐怖的
disfavor	冷待
ipts	International
argentite	辉银矿
exit	太平门
ukiyoe	浮世绘
brechtian	的:
acetanilid	止痛剂
indistributable	不可散布的
vulgate	公认的
firstling	最初成果
dysthymic	精神抑郁
cullet	碎玻璃
photodissociation	光解
scheduler	调度程序
possession	所有
zootheism	动物神教
quaternity	四位一体
urbanise	使文雅
washer	洗碗机
ordinance	传统的风俗习惯
xtra	字母X
point	要点
asbestoidal	似石棉的
synaesthesia	联觉
calorescence	热光
etr	External
migration	移动
gibeonite	做苦工者
pleasure	意志
sacerdotalism	祭司制度
total	达到
dauntless	不屈不挠的
crissa	crissum
endways	向着两端
plowback	=ploughback
nosography	病情学
potentiostatic	恒电势的
yielding	出产
spindly	纺锤形的
nymphlike	nymph
sopor	酣睡
scout	跟踪
tropone	环庚三烯酮
dell	美国德尔公司
neutral	中性
sulfureous	硫磺一般
reproduce	使……在脑海中重现
abuzz	嗡嗡
fiftyfold	五十倍
cavern	放于山洞中
encyclopaedic	如百科辞典
amphitheatric	圆剧场的
acidosis	酸毒症
pallium	大披肩
belgic	人
mile	较大的距离
extortionate	敲诈
unabiding	不持久
mainstay	支柱
globule	小球
unoffended	未被冒犯的
