saltimbocca	意式煎小牛肉火腿卷
hypercautious	极其小心的
idli	黑绿豆米饼
seismonasty	感震性
structure	结构
expressible	可榨出的
litigiosity	好讼
discriminant	判别式
epitome	摘要
smoketight	不透烟的
verbal	口头
rrl	Layer
orvieto	奥维多白葡萄酒
songbird	告密者
antilyssic	抗狂犬病的
stringpiece	纵梁
daftly	癫狂
isp	Service
straightness	正直
undeveloped	不发达的
dixie	大铁锅
unrenewable	不可重订的
substructure	基础
lachrymal	泪
apophasis	表面否认要说或正说的话
antasthmatic	治疗气喘的
piffle	讲废话
resplendency	辉煌
radiotransparent	在X光照射中不显影
mill	乱转
pagan	异教
tinfoil	锡箔
unobjectionable	不惹人讨厌
insectifuge	驱虫剂
batman	通讯员
oppressive	难以忍受
incorporeity	无实体
zeke	齐克
smooth	变平滑
miniscule	小字的
slurvian	含糊的言语
gsm	Mobile
rare	杰出的
magnesium	镁
pantopragmatic	爱管闲事
imino	亚氨基
stanch	坚强
honest	诚实
metonymic	换喻
laze	懒散
fanatic	入迷者
homoplastically	同形地
scotophil	喜暗的
tapir	貘
dole	悲哀
endophyte	内部寄生植物
defoaming	消去泡沫
hoarfrost	霜
diphthongal	双重元音
polycarpellary	多心皮
iterant	复述的
ultraviolet	紫外
neurilemma	神经鞘
microphotograph	显微照相术rB:f/
coinsurance	共同保险
poe	Embarkation
madder	洋西
semidivine	半神
protractile	突出的
carnalism	寻欢作乐
unlively	沉闷的
carpel	心皮
unpicturesque	不似画的
such	某一
granulometric	粒度测定
ungrounded	无扎实基础的
tjilatjap	芝拉扎
engraving	雕版
querimony	埋怨
orcadian	英国奥尼克郡
ferine	野生
muliebral	女性的
fundamentalism	正统派基督教
underripe	未全熟的
excitatory	有刺激性
slovensko	=Slovakia
lestobiotic	窃食共生的
hoppergrass	蝗虫
deaminate	使脱去氨基
roady	=roadie
ventromedial	腹正中的
shanghai	上海
surpassing	超过的
sue	向……请求
petitory	提出所有权要求
mortar	研钵
gratuitous	无理由
epirot	伊庇鲁斯人
seek	探索
imperceptive	无感觉的
ditchdigging	挖沟渠的
absorptiometer	调稠器
undersell	抛售
att	American
chromatoscope	彩光折射率计
fastish	尚快的
unprincipled	无原则
crossed	划掉的
nightfall	黄昏
unreligious	与宗教无关的
lunge	刺
larghettos	稍宽广的
validate	使有效
damnify	损失
costae	叶的主肋
quickie	简短的
xf	fine
vanguard	前锋
kingmaker	拥立国王者
djakarta	雅加达
marcescent	雕存
metapolitics	理论政治学
stubbed	多梗株
unmethodical	无方法的
laughingly	笑着
cushy	容易的
osmotic	渗透
seniority	资历
seam	焊合
loadstar	指导原则
puffingly	气喘吁吁
unparalleled	无双
achromatic	非彩色
trustiness	可信赖
colloidal	胶状的
heavy	严肃角色
ethnical	种族
gameless	无猎物
glazier	上釉工人
oeec	European
talisman	能产生奇迹的东西
decretory	命令
unluckily	不幸地
neighborly	睦邻的
unroyal	不似君王
opaquely	无光泽地
possess	摆布
rancidly	讨厌
humiture	温湿度
mandrax	镇静片
wistful	渴望
turn	转变方向
can	铁罐
ralline	秧鸡
rap	打
velskoen	=veld
trochaic	扬抑格的
stingy	吝啬的
broma	任何供咀嚼的固体食物
title	赋予头衔
towering	杰出
disinterested	无私
rsv	Standard
letup	停止
exacting	需付出极大耐心
lepidoptera	鳞翅类
marshall	Islands
bomber	轰炸机
flexible	能变形的
dowager	继承亡夫爵位遗孀
agraphia	因脑受伤致不能写字的失写症
incurably	不能矫正地
voluminously	庞大
peach	受人喜欢的人
percale	高级密织棉布
disenable	使不能
spacewoman	女太空人
unshaped	不成形状
banger	香肠
caid	伊斯兰教法官或市政官员
paidology	=pedology
useless	无用的
uhlan	枪骑士
inertial	惯性
tasty	可口的
candent	灼热
intention	目的
troy	特洛伊
tabernacular	临时房屋
incunable	古书之一册
infantilism	幼稚型
retroflexion	翻转
burl	节瘤
appetizing	促进食欲
implicit	含蓄
exuviate	脱壳
filter	慢慢传开
oblique	倾斜的
kaleidophone	发音体振动显像仪
empyrean	苍天
retinispora	金钟柏属植物
typically	代表性
bellyfat	浪费或多余之物
tcd	Dublin
gigglish	喜欢傻笑的
front	开头
sext	祷告
fore	在前面
ties	连结
asme	Engineers
protocontinent	原始大陆
weltanschauung	人生观
polysemous	多义
haka	毛利族的战舞
flavorous	有滋味
victrola	手摇留声机
contradictory	反驳
climactic	顶点的
forfeiter	因犯罪而丧失职位的人
endothelioid	内皮状的
unequal	不同的
reforger	再造
wizened	枯萎
complimentary	称赞
canaller	运河船员
guiltless	无罪的
credulously	易被瞒地
msphe	公共卫生工程学硕士
anuretic	尿闭的
waterishlogged	浸水的
tickbird	食虱鸟
scutch	打麻机
bonism	世善说
unduplicated	无副本的无法匹敌
altricial	孵出后需母鸟照顾一段时期
wheelhouse	舵手室
wholesale	大规模
pinfall	压倒
her	她的
phenacetine	非那西汀
agreement	同意
masty	肮脏
seascape	海景画
transit	经纬仪
petit	次要的
repair	修补
undependable	不可靠的
vigesimal	二十分之一的
mf	millifarad
pretoria	比勒陀利亚
auric	金
polyspermy	多精受精
field	野生的
punctulate	有小点
virilocal	以男方家庭为中心
dyscalculia	计算障碍
denbighshire	登比郡
rumble	辘辘行驶
resonatory	激起回响
spindling	细长的人或物
odontalgic	患牙痛的
aching	疼痛
stupefacient	麻醉
oblong	椭园形的
anachronous	时代错误的
energism	活动主义
agnolotti	意大利肉饺
reassure	打消……的疑虑
struggle	奋斗
beta	希腊字母中的第二个字母
deaccession	交换
faithlessly	不忠实地
bloemfontein	布隆方丹
emunctory	排泄
helluva	很难
recent	近来
chargehand	领班
cast	计算
rockbound	僵硬的
perversive	曲解的
democratization	民主化
assimilado	同化民
poi	山芋食物
desired	渴望
patinate	生绿锈
expertly	熟练
nod	点……
asternal	无胸骨
deweyism	杜威主义
dampproof	防湿
sfz	sforzando
astrolabe	古代的天体观测仪
circumgyration	回转
homebrewed	家酿
waterfront	水边地码头区
synallagmatic	双务的
implead	控告
brockage	有缺陷的硬币
cinderella	灰姑娘
blida	卜利达
revolt	起义
genuflect	屈服
outfit	全套装配
mistakenly	曲解地
studious	慎重
dianthus	石竹类属植物
pellitory	墙草属植物
connectedly	有关联
bowler	玩球戏的人
plaintive	哀伤的
achillean	勇敢
regular	整齐
winterthur	温特图尔
compliably	屈从地
tenderee	招标人
reformatory	革新
surculus	根出条
taper	逐渐变细
warren	拥挤的地方
euphemistical	委婉说法
outweigh	在重量上超过
callus	皮肤的硬结组织
perhydrol	过氧化氢
prolific	大量繁殖的
psyllid	木虱
flitch	桁板
hemocytoblast	原始血细胞
certificate	证明书
transferable	可传递
bureau	衣柜
beckoningly	令人心动地
ergonomic	人类环境改造学
appetising	=appetizing
antilabor	反工会
